"user_id","book_id"
"1","112"
"1","235"
"1","533"
"1","1198"
"1","1874"
"1","2058"
"1","3334"
"2","4"
"2","11"
"2","13"
"2","16"
"2","92"
"2","106"
"2","113"
"2","233"
"2","247"
"2","380"
"2","408"
"2","439"
"2","479"
"2","516"
"2","619"
"2","1069"
"2","1371"
"2","1384"
"2","1597"
"2","1926"
"2","1967"
"2","1969"
"2","2220"
"2","2388"
"2","3222"
"2","3227"
"2","3733"
"2","5418"
"2","6937"
"2","7146"
"2","7873"
"2","8417"
"3","10"
"3","66"
"3","233"
"3","726"
"3","932"
"3","1146"
"3","2439"
"3","3566"
"3","4582"
"3","5448"
"3","5765"
"3","6274"
"3","8403"
"5","31"
"5","665"
"5","3074"
"5","3581"
"6","64"
"6","459"
"6","619"
"6","649"
"6","687"
"6","874"
"6","1319"
"6","1912"
"6","5269"
"6","5537"
"6","5820"
"6","6220"
"6","7480"
"7","10"
"7","215"
"7","225"
"7","233"
"7","1322"
"7","3552"
"7","3720"
"7","4468"
"8","19"
"8","498"
"8","1357"
"8","2177"
"8","3930"
"8","4004"
"8","8792"
"8","9304"
"9","8"
"9","112"
"9","139"
"9","230"
"9","233"
"9","473"
"9","638"
"9","653"
"9","672"
"9","701"
"9","736"
"9","883"
"9","895"
"9","1467"
"9","1582"
